Date,sentiment_mean,sentiment_std,tweet_volume
2015-07-24,-0.08823529411764706,0.5144957554275266,34
2015-07-25,,,0
2015-07-26,,,0
2015-07-27,-0.5151515151515151,0.6671399834935375,33
2015-07-28,-0.0967741935483871,0.3005371535187643,31
2015-07-29,-0.06896551724137931,0.25788071477756375,29
2015-07-30,-0.18518518518518517,0.3958473906635696,27
2015-07-31,-0.29411764705882354,0.5239368319955837,34
2015-08-01,,,0
2015-08-02,,,0
2015-08-03,-0.5714285714285714,0.7119778384165573,63
2015-08-04,-0.5166666666666667,0.7700245795475265,60
2015-08-05,-0.029850746268656716,0.5213661905595006,67
2015-08-06,-0.1,0.4414428557263045,40
2015-08-07,-0.14285714285714285,0.4299697077467574,35
2015-08-08,,,0
2015-08-09,,,0
2015-08-10,0.057692307692307696,0.7252710524676351,52
